Race,HispanicOrigin,Sex,Age,Interval,Agegroup_5,Agegroup,Pop,Total,White,Black,Asian,AIAN,NHPI,TwoOrMoreRaces
Total,Not Hispanic,Female,16,,,...16 years and over,113093286,113093286,84242647,17093031,8304961,968104,232095,2252448
Total,Not Hispanic,Female,18,,,...18 years and over,110013455,110013455,82128034,16534867,8088861,933997,224042,2103654
Total,Hispanic,Total,0,5,yes,..Under 5 years,5094211,5094211,4357839,273769,55794,152332,18139,236338
Total,Hispanic,Total,5,5,yes,..5 to 9 years,5243825,5243825,4506602,276151,53235,151682,17553,238602
Total,Hispanic,Total,10,5,yes,..10 to 14 years,5323761,5323761,4581514,282789,57330,157426,20043,224659
Total,Hispanic,Total,15,5,yes,..15 to 19 years,5040048,5040048,4385524,252768,51112,147326,17505,185813
Total,Hispanic,Total,20,5,yes,..20 to 24 years,4844542,4844542,4234266,238644,48489,141504,16717,164922
Total,Hispanic,Total,25,5,yes,..25 to 29 years,4939078,4939078,4319596,253330,50465,146384,18612,150691
Total,Hispanic,Total,30,5,yes,..30 to 34 years,4586185,4586185,4017057,235339,47459,139974,18909,127447
Total,Hispanic,Total,35,5,yes,..35 to 39 years,4509927,4509927,3969237,219956,45133,138334,18658,118609
Total,Hispanic,Total,40,5,yes,..40 to 44 years,4146558,4146558,3672303,192276,41009,123602,15564,101804
Total,Hispanic,Total,45,5,yes,..45 to 49 years,3815729,3815729,3412395,162012,36156,112556,12766,79844
Total,Hispanic,Total,50,5,yes,..50 to 54 years,3312479,3312479,2969029,140820,30323,95527,10990,65790
Total,Hispanic,Total,55,5,yes,..55 to 59 years,2848574,2848574,2554547,121052,25866,82051,8763,56295
Total,Hispanic,Total,60,5,yes,..60 to 64 years,2228354,2228354,2001145,95300,20016,62229,6336,43328
Total,Hispanic,Total,65,5,yes,..65 to 69 years,1640334,1640334,1483078,68473,14032,41272,4147,29332
Total,Hispanic,Total,70,5,yes,..70 to 74 years,1181785,1181785,1075524,47139,9553,27082,2777,19710
Total,Hispanic,Total,75,5,yes,..75 to 79 years,780314,780314,714768,30122,5927,15883,1617,11997
Total,Hispanic,Total,80,5,yes,..80 to 84 years,527437,527437,485523,20078,3790,9555,1089,7402
Total,Hispanic,Total,85,,yes,..85 years and over,509096,509096,472421,17580,3294,8465,844,6492
Total,Hispanic,Total,0,18,,..Under 18 years,18687565,18687565,16075399,984860,197538,550310,66365,813093
Total,Hispanic,Total,0,5,,...Under 5 years,5094211,5094211,4357839,273769,55794,152332,18139,236338
Total,Hispanic,Total,5,9,,...5 to 13 years,9524887,9524887,8186120,505301,99706,277964,33785,422011
Total,Hispanic,Total,14,4,,...14 to 17 years,4068467,4068467,3531440,205790,42038,120014,14441,154744
Total,Hispanic,Total,18,47,,..18 to 64 years,37245706,37245706,32905655,1759346,364849,1100617,134190,981049
Total,Hispanic,Total,18,7,,...18 to 24 years,6858822,6858822,5990346,339261,68422,199960,23592,237241
Total,Hispanic,Total,25,20,,...25 to 44 years,18181748,18181748,15978193,900901,184066,548294,71743,498551
Total,Hispanic,Total,45,20,,...45 to 64 years,12205136,12205136,10937116,519184,112361,352363,38855,245257
