Race,HispanicOrigin,Sex,Age,Interval,Agegroup_5,Agegroup,Pop,Total,White,Black,Asian,AIAN,NHPI,TwoOrMoreRaces
NHPI,Total,Total,55,5,yes,.55 to 59 years,43100,,,,,,,
NHPI,Total,Total,60,5,yes,.60 to 64 years,35298,,,,,,,
NHPI,Total,Total,65,5,yes,.65 to 69 years,26516,,,,,,,
NHPI,Total,Total,70,5,yes,.70 to 74 years,19285,,,,,,,
NHPI,Total,Total,75,5,yes,.75 to 79 years,11490,,,,,,,
NHPI,Total,Total,80,5,yes,.80 to 84 years,7135,,,,,,,
NHPI,Total,Total,85,,yes,.85 years and over,6505,,,,,,,
NHPI,Total,Total,0,18,,.Under 18 years,213422,,,,,,,
NHPI,Total,Total,0,5,,..Under 5 years,58224,,,,,,,
NHPI,Total,Total,5,9,,..5 to 13 years,107476,,,,,,,
NHPI,Total,Total,14,4,,..14 to 17 years,47722,,,,,,,
NHPI,Total,Total,18,47,,.18 to 64 years,522584,,,,,,,
NHPI,Total,Total,18,7,,..18 to 24 years,83343,,,,,,,
NHPI,Total,Total,25,20,,..25 to 44 years,264723,,,,,,,
NHPI,Total,Total,45,20,,..45 to 64 years,174518,,,,,,,
NHPI,Total,Total,65,,,.65 years and over,70931,,,,,,,
NHPI,Total,Total,85,,,.85 years and over,6505,,,,,,,
NHPI,Total,Total,16,,,.16 years and over,616964,,,,,,,
NHPI,Total,Total,18,,,.18 years and over,593515,,,,,,,
NHPI,Total,Male,0,5,yes,..Under 5 years,29671,,,,,,,
NHPI,Total,Male,5,5,yes,..5 to 9 years,29361,,,,,,,
NHPI,Total,Male,10,5,yes,..10 to 14 years,31543,,,,,,,
NHPI,Total,Male,15,5,yes,..15 to 19 years,30065,,,,,,,
NHPI,Total,Male,20,5,yes,..20 to 24 years,30768,,,,,,,
NHPI,Total,Male,25,5,yes,..25 to 29 years,35949,,,,,,,
NHPI,Total,Male,30,5,yes,..30 to 34 years,37362,,,,,,,
NHPI,Total,Male,35,5,yes,..35 to 39 years,35542,,,,,,,
NHPI,Total,Male,40,5,yes,..40 to 44 years,29129,,,,,,,
NHPI,Total,Male,45,5,yes,..45 to 49 years,25435,,,,,,,
NHPI,Total,Male,50,5,yes,..50 to 54 years,22928,,,,,,,
NHPI,Total,Male,55,5,yes,..55 to 59 years,21073,,,,,,,
NHPI,Total,Male,60,5,yes,..60 to 64 years,17167,,,,,,,
NHPI,Total,Male,65,5,yes,..65 to 69 years,12660,,,,,,,
NHPI,Total,Male,70,5,yes,..70 to 74 years,9259,,,,,,,
NHPI,Total,Male,75,5,yes,..75 to 79 years,5382,,,,,,,
NHPI,Total,Male,80,5,yes,..80 to 84 years,3090,,,,,,,
NHPI,Total,Male,85,,yes,..85 years and over,2574,,,,,,,
NHPI,Total,Male,0,18,,..Under 18 years,108628,,,,,,,
NHPI,Total,Male,0,5,,...Under 5 years,29671,,,,,,,
NHPI,Total,Male,5,9,,...5 to 13 years,54634,,,,,,,
NHPI,Total,Male,14,4,,...14 to 17 years,24323,,,,,,,
NHPI,Total,Male,18,47,,..18 to 64 years,267365,,,,,,,
NHPI,Total,Male,18,7,,...18 to 24 years,42780,,,,,,,
NHPI,Total,Male,25,20,,...25 to 44 years,137982,,,,,,,
NHPI,Total,Male,45,20,,...45 to 64 years,86603,,,,,,,
NHPI,Total,Male,65,,,..65 years and over,32965,,,,,,,
NHPI,Total,Male,85,,,..85 years and over,2574,,,,,,,
NHPI,Total,Male,16,,,..16 years and over,312285,,,,,,,
NHPI,Total,Male,18,,,..18 years and over,300330,,,,,,,
NHPI,Total,Female,0,5,yes,..Under 5 years,28553,,,,,,,
NHPI,Total,Female,5,5,yes,..5 to 9 years,28250,,,,,,,
NHPI,Total,Female,10,5,yes,..10 to 14 years,30683,,,,,,,
NHPI,Total,Female,15,5,yes,..15 to 19 years,28902,,,,,,,
NHPI,Total,Female,20,5,yes,..20 to 24 years,28969,,,,,,,
NHPI,Total,Female,25,5,yes,..25 to 29 years,33502,,,,,,,
NHPI,Total,Female,30,5,yes,..30 to 34 years,33596,,,,,,,
NHPI,Total,Female,35,5,yes,..35 to 39 years,32421,,,,,,,
NHPI,Total,Female,40,5,yes,..40 to 44 years,27222,,,,,,,
NHPI,Total,Female,45,5,yes,..45 to 49 years,24633,,,,,,,
NHPI,Total,Female,50,5,yes,..50 to 54 years,23124,,,,,,,
NHPI,Total,Female,55,5,yes,..55 to 59 years,22027,,,,,,,
NHPI,Total,Female,60,5,yes,..60 to 64 years,18131,,,,,,,
NHPI,Total,Female,65,5,yes,..65 to 69 years,13856,,,,,,,
NHPI,Total,Female,70,5,yes,..70 to 74 years,10026,,,,,,,
NHPI,Total,Female,75,5,yes,..75 to 79 years,6108,,,,,,,
NHPI,Total,Female,80,5,yes,..80 to 84 years,4045,,,,,,,
NHPI,Total,Female,85,,yes,..85 years and over,3931,,,,,,,
NHPI,Total,Female,0,18,,..Under 18 years,104794,,,,,,,
NHPI,Total,Female,0,5,,...Under 5 years,28553,,,,,,,
NHPI,Total,Female,5,9,,...5 to 13 years,52842,,,,,,,
NHPI,Total,Female,14,4,,...14 to 17 years,23399,,,,,,,
NHPI,Total,Female,18,47,,..18 to 64 years,255219,,,,,,,
NHPI,Total,Female,18,7,,...18 to 24 years,40563,,,,,,,
NHPI,Total,Female,25,20,,...25 to 44 years,126741,,,,,,,
NHPI,Total,Female,45,20,,...45 to 64 years,87915,,,,,,,
NHPI,Total,Female,65,,,..65 years and over,37966,,,,,,,
NHPI,Total,Female,85,,,..85 years and over,3931,,,,,,,
NHPI,Total,Female,16,,,..16 years and over,304679,,,,,,,
NHPI,Total,Female,18,,,..18 years and over,293185,,,,,,,
NHPI,Not Hispanic,Total,0,5,yes,..Under 5 years,40085,,,,,,,
NHPI,Not Hispanic,Total,5,5,yes,..5 to 9 years,40058,,,,,,,
NHPI,Not Hispanic,Total,10,5,yes,..10 to 14 years,42183,,,,,,,
NHPI,Not Hispanic,Total,15,5,yes,..15 to 19 years,41462,,,,,,,
NHPI,Not Hispanic,Total,20,5,yes,..20 to 24 years,43020,,,,,,,
NHPI,Not Hispanic,Total,25,5,yes,..25 to 29 years,50839,,,,,,,
NHPI,Not Hispanic,Total,30,5,yes,..30 to 34 years,52049,,,,,,,
NHPI,Not Hispanic,Total,35,5,yes,..35 to 39 years,49305,,,,,,,
NHPI,Not Hispanic,Total,40,5,yes,..40 to 44 years,40787,,,,,,,
NHPI,Not Hispanic,Total,45,5,yes,..45 to 49 years,37302,,,,,,,
NHPI,Not Hispanic,Total,50,5,yes,..50 to 54 years,35062,,,,,,,
NHPI,Not Hispanic,Total,55,5,yes,..55 to 59 years,34337,,,,,,,
NHPI,Not Hispanic,Total,60,5,yes,..60 to 64 years,28962,,,,,,,
NHPI,Not Hispanic,Total,65,5,yes,..65 to 69 years,22369,,,,,,,
NHPI,Not Hispanic,Total,70,5,yes,..70 to 74 years,16508,,,,,,,
NHPI,Not Hispanic,Total,75,5,yes,..75 to 79 years,9873,,,,,,,
NHPI,Not Hispanic,Total,80,5,yes,..80 to 84 years,6046,,,,,,,
NHPI,Not Hispanic,Total,85,,yes,..85 years and over,5661,,,,,,,
NHPI,Not Hispanic,Total,0,18,,..Under 18 years,147057,,,,,,,
NHPI,Not Hispanic,Total,0,5,,...Under 5 years,40085,,,,,,,
NHPI,Not Hispanic,Total,5,9,,...5 to 13 years,73691,,,,,,,
NHPI,Not Hispanic,Total,14,4,,...14 to 17 years,33281,,,,,,,
NHPI,Not Hispanic,Total,18,47,,..18 to 64 years,388394,,,,,,,
NHPI,Not Hispanic,Total,18,7,,...18 to 24 years,59751,,,,,,,
NHPI,Not Hispanic,Total,25,20,,...25 to 44 years,192980,,,,,,,
NHPI,Not Hispanic,Total,45,20,,...45 to 64 years,135663,,,,,,,
NHPI,Not Hispanic,Total,65,,,..65 years and over,60457,,,,,,,
NHPI,Not Hispanic,Total,85,,,..85 years and over,5661,,,,,,,
NHPI,Not Hispanic,Total,16,,,..16 years and over,465274,,,,,,,
NHPI,Not Hispanic,Total,18,,,..18 years and over,448851,,,,,,,
NHPI,Not Hispanic,Male,0,5,yes,...Under 5 years,20461,,,,,,,
NHPI,Not Hispanic,Male,5,5,yes,...5 to 9 years,20474,,,,,,,
NHPI,Not Hispanic,Male,10,5,yes,...10 to 14 years,21398,,,,,,,
NHPI,Not Hispanic,Male,15,5,yes,...15 to 19 years,21218,,,,,,,
NHPI,Not Hispanic,Male,20,5,yes,...20 to 24 years,22107,,,,,,,
NHPI,Not Hispanic,Male,25,5,yes,...25 to 29 years,26090,,,,,,,
NHPI,Not Hispanic,Male,30,5,yes,...30 to 34 years,26791,,,,,,,
NHPI,Not Hispanic,Male,35,5,yes,...35 to 39 years,25247,,,,,,,
NHPI,Not Hispanic,Male,40,5,yes,...40 to 44 years,20753,,,,,,,
NHPI,Not Hispanic,Male,45,5,yes,...45 to 49 years,18855,,,,,,,
NHPI,Not Hispanic,Male,50,5,yes,...50 to 54 years,17356,,,,,,,
NHPI,Not Hispanic,Male,55,5,yes,...55 to 59 years,16743,,,,,,,
NHPI,Not Hispanic,Male,60,5,yes,...60 to 64 years,14047,,,,,,,
NHPI,Not Hispanic,Male,65,5,yes,...65 to 69 years,10694,,,,,,,
NHPI,Not Hispanic,Male,70,5,yes,...70 to 74 years,7930,,,,,,,
NHPI,Not Hispanic,Male,75,5,yes,...75 to 79 years,4703,,,,,,,
NHPI,Not Hispanic,Male,80,5,yes,...80 to 84 years,2660,,,,,,,
NHPI,Not Hispanic,Male,85,,yes,...85 years and over,2248,,,,,,,
NHPI,Not Hispanic,Male,0,18,,...Under 18 years,74966,,,,,,,
NHPI,Not Hispanic,Male,0,5,,....Under 5 years,20461,,,,,,,
NHPI,Not Hispanic,Male,5,9,,....5 to 13 years,37581,,,,,,,
NHPI,Not Hispanic,Male,14,4,,....14 to 17 years,16924,,,,,,,
NHPI,Not Hispanic,Male,18,47,,...18 to 64 years,196574,,,,,,,
NHPI,Not Hispanic,Male,18,7,,....18 to 24 years,30692,,,,,,,
NHPI,Not Hispanic,Male,25,20,,....25 to 44 years,98881,,,,,,,
NHPI,Not Hispanic,Male,45,20,,....45 to 64 years,67001,,,,,,,
NHPI,Not Hispanic,Male,65,,,...65 years and over,28235,,,,,,,
NHPI,Not Hispanic,Male,85,,,...85 years and over,2248,,,,,,,
NHPI,Not Hispanic,Male,16,,,...16 years and over,233179,,,,,,,
NHPI,Not Hispanic,Male,18,,,...18 years and over,224809,,,,,,,
NHPI,Not Hispanic,Female,0,5,yes,...Under 5 years,19624,,,,,,,
NHPI,Not Hispanic,Female,5,5,yes,...5 to 9 years,19584,,,,,,,
NHPI,Not Hispanic,Female,10,5,yes,...10 to 14 years,20785,,,,,,,
NHPI,Not Hispanic,Female,15,5,yes,...15 to 19 years,20244,,,,,,,
NHPI,Not Hispanic,Female,20,5,yes,...20 to 24 years,20913,,,,,,,
NHPI,Not Hispanic,Female,25,5,yes,...25 to 29 years,24749,,,,,,,
NHPI,Not Hispanic,Female,30,5,yes,...30 to 34 years,25258,,,,,,,
NHPI,Not Hispanic,Female,35,5,yes,...35 to 39 years,24058,,,,,,,
NHPI,Not Hispanic,Female,40,5,yes,...40 to 44 years,20034,,,,,,,
NHPI,Not Hispanic,Female,45,5,yes,...45 to 49 years,18447,,,,,,,
NHPI,Not Hispanic,Female,50,5,yes,...50 to 54 years,17706,,,,,,,
NHPI,Not Hispanic,Female,55,5,yes,...55 to 59 years,17594,,,,,,,
NHPI,Not Hispanic,Female,60,5,yes,...60 to 64 years,14915,,,,,,,
NHPI,Not Hispanic,Female,65,5,yes,...65 to 69 years,11675,,,,,,,
NHPI,Not Hispanic,Female,70,5,yes,...70 to 74 years,8578,,,,,,,
NHPI,Not Hispanic,Female,75,5,yes,...75 to 79 years,5170,,,,,,,
NHPI,Not Hispanic,Female,80,5,yes,...80 to 84 years,3386,,,,,,,
NHPI,Not Hispanic,Female,85,,yes,...85 years and over,3413,,,,,,,
NHPI,Not Hispanic,Female,0,18,,...Under 18 years,72091,,,,,,,
NHPI,Not Hispanic,Female,0,5,,....Under 5 years,19624,,,,,,,
NHPI,Not Hispanic,Female,5,9,,....5 to 13 years,36110,,,,,,,
NHPI,Not Hispanic,Female,14,4,,....14 to 17 years,16357,,,,,,,
NHPI,Not Hispanic,Female,18,47,,...18 to 64 years,191820,,,,,,,
NHPI,Not Hispanic,Female,18,7,,....18 to 24 years,29059,,,,,,,
NHPI,Not Hispanic,Female,25,20,,....25 to 44 years,94099,,,,,,,
NHPI,Not Hispanic,Female,45,20,,....45 to 64 years,68662,,,,,,,
NHPI,Not Hispanic,Female,65,,,...65 years and over,32222,,,,,,,
NHPI,Not Hispanic,Female,85,,,...85 years and over,3413,,,,,,,
NHPI,Not Hispanic,Female,16,,,...16 years and over,232095,,,,,,,
NHPI,Not Hispanic,Female,18,,,...18 years and over,224042,,,,,,,
NHPI,Hispanic,Total,0,5,yes,..Under 5 years,18139,,,,,,,
NHPI,Hispanic,Total,5,5,yes,..5 to 9 years,17553,,,,,,,
NHPI,Hispanic,Total,10,5,yes,..10 to 14 years,20043,,,,,,,
NHPI,Hispanic,Total,15,5,yes,..15 to 19 years,17505,,,,,,,
NHPI,Hispanic,Total,20,5,yes,..20 to 24 years,16717,,,,,,,
NHPI,Hispanic,Total,25,5,yes,..25 to 29 years,18612,,,,,,,
NHPI,Hispanic,Total,30,5,yes,..30 to 34 years,18909,,,,,,,
NHPI,Hispanic,Total,35,5,yes,..35 to 39 years,18658,,,,,,,
NHPI,Hispanic,Total,40,5,yes,..40 to 44 years,15564,,,,,,,
NHPI,Hispanic,Total,45,5,yes,..45 to 49 years,12766,,,,,,,
NHPI,Hispanic,Total,50,5,yes,..50 to 54 years,10990,,,,,,,
NHPI,Hispanic,Total,55,5,yes,..55 to 59 years,8763,,,,,,,
NHPI,Hispanic,Total,60,5,yes,..60 to 64 years,6336,,,,,,,
NHPI,Hispanic,Total,65,5,yes,..65 to 69 years,4147,,,,,,,
NHPI,Hispanic,Total,70,5,yes,..70 to 74 years,2777,,,,,,,
NHPI,Hispanic,Total,75,5,yes,..75 to 79 years,1617,,,,,,,
NHPI,Hispanic,Total,80,5,yes,..80 to 84 years,1089,,,,,,,
NHPI,Hispanic,Total,85,,yes,..85 years and over,844,,,,,,,
NHPI,Hispanic,Total,0,18,,..Under 18 years,66365,,,,,,,
NHPI,Hispanic,Total,0,5,,...Under 5 years,18139,,,,,,,
NHPI,Hispanic,Total,5,9,,...5 to 13 years,33785,,,,,,,
NHPI,Hispanic,Total,14,4,,...14 to 17 years,14441,,,,,,,
NHPI,Hispanic,Total,18,47,,..18 to 64 years,134190,,,,,,,
NHPI,Hispanic,Total,18,7,,...18 to 24 years,23592,,,,,,,
NHPI,Hispanic,Total,25,20,,...25 to 44 years,71743,,,,,,,
NHPI,Hispanic,Total,45,20,,...45 to 64 years,38855,,,,,,,
NHPI,Hispanic,Total,65,,,..65 years and over,10474,,,,,,,
NHPI,Hispanic,Total,85,,,..85 years and over,844,,,,,,,
NHPI,Hispanic,Total,16,,,..16 years and over,151690,,,,,,,
NHPI,Hispanic,Total,18,,,..18 years and over,144664,,,,,,,
NHPI,Hispanic,Male,0,5,yes,...Under 5 years,9210,,,,,,,
NHPI,Hispanic,Male,5,5,yes,...5 to 9 years,8887,,,,,,,
NHPI,Hispanic,Male,10,5,yes,...10 to 14 years,10145,,,,,,,
NHPI,Hispanic,Male,15,5,yes,...15 to 19 years,8847,,,,,,,
NHPI,Hispanic,Male,20,5,yes,...20 to 24 years,8661,,,,,,,
NHPI,Hispanic,Male,25,5,yes,...25 to 29 years,9859,,,,,,,
NHPI,Hispanic,Male,30,5,yes,...30 to 34 years,10571,,,,,,,
NHPI,Hispanic,Male,35,5,yes,...35 to 39 years,10295,,,,,,,
NHPI,Hispanic,Male,40,5,yes,...40 to 44 years,8376,,,,,,,
NHPI,Hispanic,Male,45,5,yes,...45 to 49 years,6580,,,,,,,
NHPI,Hispanic,Male,50,5,yes,...50 to 54 years,5572,,,,,,,
NHPI,Hispanic,Male,55,5,yes,...55 to 59 years,4330,,,,,,,
NHPI,Hispanic,Male,60,5,yes,...60 to 64 years,3120,,,,,,,
NHPI,Hispanic,Male,65,5,yes,...65 to 69 years,1966,,,,,,,
NHPI,Hispanic,Male,70,5,yes,...70 to 74 years,1329,,,,,,,
NHPI,Hispanic,Male,75,5,yes,...75 to 79 years,679,,,,,,,
NHPI,Hispanic,Male,80,5,yes,...80 to 84 years,430,,,,,,,
NHPI,Hispanic,Male,85,,yes,...85 years and over,326,,,,,,,
NHPI,Hispanic,Male,0,18,,...Under 18 years,33662,,,,,,,
NHPI,Hispanic,Male,0,5,,....Under 5 years,9210,,,,,,,
NHPI,Hispanic,Male,5,9,,....5 to 13 years,17053,,,,,,,
NHPI,Hispanic,Male,14,4,,....14 to 17 years,7399,,,,,,,
NHPI,Hispanic,Male,18,47,,...18 to 64 years,70791,,,,,,,
NHPI,Hispanic,Male,18,7,,....18 to 24 years,12088,,,,,,,
NHPI,Hispanic,Male,25,20,,....25 to 44 years,39101,,,,,,,
NHPI,Hispanic,Male,45,20,,....45 to 64 years,19602,,,,,,,
NHPI,Hispanic,Male,65,,,...65 years and over,4730,,,,,,,
NHPI,Hispanic,Male,85,,,...85 years and over,326,,,,,,,
NHPI,Hispanic,Male,16,,,...16 years and over,79106,,,,,,,
NHPI,Hispanic,Male,18,,,...18 years and over,75521,,,,,,,
NHPI,Hispanic,Female,0,5,yes,...Under 5 years,8929,,,,,,,
NHPI,Hispanic,Female,5,5,yes,...5 to 9 years,8666,,,,,,,
NHPI,Hispanic,Female,10,5,yes,...10 to 14 years,9898,,,,,,,
NHPI,Hispanic,Female,15,5,yes,...15 to 19 years,8658,,,,,,,
NHPI,Hispanic,Female,20,5,yes,...20 to 24 years,8056,,,,,,,
NHPI,Hispanic,Female,25,5,yes,...25 to 29 years,8753,,,,,,,
NHPI,Hispanic,Female,30,5,yes,...30 to 34 years,8338,,,,,,,
NHPI,Hispanic,Female,35,5,yes,...35 to 39 years,8363,,,,,,,
NHPI,Hispanic,Female,40,5,yes,...40 to 44 years,7188,,,,,,,
NHPI,Hispanic,Female,45,5,yes,...45 to 49 years,6186,,,,,,,
NHPI,Hispanic,Female,50,5,yes,...50 to 54 years,5418,,,,,,,
NHPI,Hispanic,Female,55,5,yes,...55 to 59 years,4433,,,,,,,
NHPI,Hispanic,Female,60,5,yes,...60 to 64 years,3216,,,,,,,
NHPI,Hispanic,Female,65,5,yes,...65 to 69 years,2181,,,,,,,
NHPI,Hispanic,Female,70,5,yes,...70 to 74 years,1448,,,,,,,
NHPI,Hispanic,Female,75,5,yes,...75 to 79 years,938,,,,,,,
NHPI,Hispanic,Female,80,5,yes,...80 to 84 years,659,,,,,,,
NHPI,Hispanic,Female,85,,yes,...85 years and over,518,,,,,,,
NHPI,Hispanic,Female,0,18,,...Under 18 years,32703,,,,,,,
NHPI,Hispanic,Female,0,5,,....Under 5 years,8929,,,,,,,
NHPI,Hispanic,Female,5,9,,....5 to 13 years,16732,,,,,,,
NHPI,Hispanic,Female,14,4,,....14 to 17 years,7042,,,,,,,
NHPI,Hispanic,Female,18,47,,...18 to 64 years,63399,,,,,,,
NHPI,Hispanic,Female,18,7,,....18 to 24 years,11504,,,,,,,
NHPI,Hispanic,Female,25,20,,....25 to 44 years,32642,,,,,,,
NHPI,Hispanic,Female,45,20,,....45 to 64 years,19253,,,,,,,
NHPI,Hispanic,Female,65,,,...65 years and over,5744,,,,,,,
NHPI,Hispanic,Female,85,,,...85 years and over,518,,,,,,,
NHPI,Hispanic,Female,16,,,...16 years and over,72584,,,,,,,
NHPI,Hispanic,Female,18,,,...18 years and over,69143,,,,,,,
TwoOrMoreRaces,Total,Total,0,5,yes,.Under 5 years,1175941,,,,,,,
TwoOrMoreRaces,Total,Total,5,5,yes,.5 to 9 years,1170828,,,,,,,
TwoOrMoreRaces,Total,Total,10,5,yes,.10 to 14 years,1106781,,,,,,,
TwoOrMoreRaces,Total,Total,15,5,yes,.15 to 19 years,940176,,,,,,,
TwoOrMoreRaces,Total,Total,20,5,yes,.20 to 24 years,837526,,,,,,,
TwoOrMoreRaces,Total,Total,25,5,yes,.25 to 29 years,734840,,,,,,,
TwoOrMoreRaces,Total,Total,30,5,yes,.30 to 34 years,569107,,,,,,,
TwoOrMoreRaces,Total,Total,35,5,yes,.35 to 39 years,495437,,,,,,,
TwoOrMoreRaces,Total,Total,40,5,yes,.40 to 44 years,410169,,,,,,,
TwoOrMoreRaces,Total,Total,45,5,yes,.45 to 49 years,355161,,,,,,,
TwoOrMoreRaces,Total,Total,50,5,yes,.50 to 54 years,303752,,,,,,,
TwoOrMoreRaces,Total,Total,55,5,yes,.55 to 59 years,291241,,,,,,,
TwoOrMoreRaces,Total,Total,60,5,yes,.60 to 64 years,247443,,,,,,,
TwoOrMoreRaces,Total,Total,65,5,yes,.65 to 69 years,184395,,,,,,,
TwoOrMoreRaces,Total,Total,70,5,yes,.70 to 74 years,132987,,,,,,,
TwoOrMoreRaces,Total,Total,75,5,yes,.75 to 79 years,84568,,,,,,,
TwoOrMoreRaces,Total,Total,80,5,yes,.80 to 84 years,51983,,,,,,,
TwoOrMoreRaces,Total,Total,85,,yes,.85 years and over,50021,,,,,,,
TwoOrMoreRaces,Total,Total,0,18,,.Under 18 years,4027548,,,,,,,
TwoOrMoreRaces,Total,Total,0,5,,..Under 5 years,1175941,,,,,,,
TwoOrMoreRaces,Total,Total,5,9,,..5 to 13 years,2071170,,,,,,,
TwoOrMoreRaces,Total,Total,14,4,,..14 to 17 years,780437,,,,,,,
TwoOrMoreRaces,Total,Total,18,47,,.18 to 64 years,4610854,,,,,,,
TwoOrMoreRaces,Total,Total,18,7,,..18 to 24 years,1203704,,,,,,,
TwoOrMoreRaces,Total,Total,25,20,,..25 to 44 years,2209553,,,,,,,
TwoOrMoreRaces,Total,Total,45,20,,..45 to 64 years,1197597,,,,,,,
TwoOrMoreRaces,Total,Total,65,,,.65 years and over,503954,,,,,,,
TwoOrMoreRaces,Total,Total,85,,,.85 years and over,50021,,,,,,,
TwoOrMoreRaces,Total,Total,16,,,.16 years and over,5489290,,,,,,,
TwoOrMoreRaces,Total,Total,18,,,.18 years and over,5114808,,,,,,,
TwoOrMoreRaces,Total,Male,0,5,yes,..Under 5 years,599798,,,,,,,
TwoOrMoreRaces,Total,Male,5,5,yes,..5 to 9 years,597915,,,,,,,
TwoOrMoreRaces,Total,Male,10,5,yes,..10 to 14 years,562453,,,,,,,
TwoOrMoreRaces,Total,Male,15,5,yes,..15 to 19 years,476028,,,,,,,
TwoOrMoreRaces,Total,Male,20,5,yes,..20 to 24 years,425060,,,,,,,
TwoOrMoreRaces,Total,Male,25,5,yes,..25 to 29 years,366630,,,,,,,
TwoOrMoreRaces,Total,Male,30,5,yes,..30 to 34 years,276065,,,,,,,
TwoOrMoreRaces,Total,Male,35,5,yes,..35 to 39 years,236713,,,,,,,
TwoOrMoreRaces,Total,Male,40,5,yes,..40 to 44 years,195145,,,,,,,
TwoOrMoreRaces,Total,Male,45,5,yes,..45 to 49 years,168003,,,,,,,
TwoOrMoreRaces,Total,Male,50,5,yes,..50 to 54 years,143807,,,,,,,
TwoOrMoreRaces,Total,Male,55,5,yes,..55 to 59 years,137444,,,,,,,
TwoOrMoreRaces,Total,Male,60,5,yes,..60 to 64 years,116656,,,,,,,
TwoOrMoreRaces,Total,Male,65,5,yes,..65 to 69 years,85904,,,,,,,
TwoOrMoreRaces,Total,Male,70,5,yes,..70 to 74 years,60944,,,,,,,
TwoOrMoreRaces,Total,Male,75,5,yes,..75 to 79 years,37289,,,,,,,
TwoOrMoreRaces,Total,Male,80,5,yes,..80 to 84 years,22095,,,,,,,
TwoOrMoreRaces,Total,Male,85,,yes,..85 years and over,18351,,,,,,,
TwoOrMoreRaces,Total,Male,0,18,,..Under 18 years,2050384,,,,,,,
TwoOrMoreRaces,Total,Male,0,5,,...Under 5 years,599798,,,,,,,
TwoOrMoreRaces,Total,Male,5,9,,...5 to 13 years,1055652,,,,,,,
TwoOrMoreRaces,Total,Male,14,4,,...14 to 17 years,394934,,,,,,,
TwoOrMoreRaces,Total,Male,18,47,,..18 to 64 years,2251333,,,,,,,
TwoOrMoreRaces,Total,Male,18,7,,...18 to 24 years,610870,,,,,,,
TwoOrMoreRaces,Total,Male,25,20,,...25 to 44 years,1074553,,,,,,,
TwoOrMoreRaces,Total,Male,45,20,,...45 to 64 years,565910,,,,,,,
TwoOrMoreRaces,Total,Male,65,,,..65 years and over,224583,,,,,,,
TwoOrMoreRaces,Total,Male,85,,,..85 years and over,18351,,,,,,,
TwoOrMoreRaces,Total,Male,16,,,..16 years and over,2665043,,,,,,,
TwoOrMoreRaces,Total,Male,18,,,..18 years and over,2475916,,,,,,,
TwoOrMoreRaces,Total,Female,0,5,yes,..Under 5 years,576143,,,,,,,
TwoOrMoreRaces,Total,Female,5,5,yes,..5 to 9 years,572913,,,,,,,
TwoOrMoreRaces,Total,Female,10,5,yes,..10 to 14 years,544328,,,,,,,
TwoOrMoreRaces,Total,Female,15,5,yes,..15 to 19 years,464148,,,,,,,
TwoOrMoreRaces,Total,Female,20,5,yes,..20 to 24 years,412466,,,,,,,
TwoOrMoreRaces,Total,Female,25,5,yes,..25 to 29 years,368210,,,,,,,
TwoOrMoreRaces,Total,Female,30,5,yes,..30 to 34 years,293042,,,,,,,
TwoOrMoreRaces,Total,Female,35,5,yes,..35 to 39 years,258724,,,,,,,
TwoOrMoreRaces,Total,Female,40,5,yes,..40 to 44 years,215024,,,,,,,
TwoOrMoreRaces,Total,Female,45,5,yes,..45 to 49 years,187158,,,,,,,
TwoOrMoreRaces,Total,Female,50,5,yes,..50 to 54 years,159945,,,,,,,
TwoOrMoreRaces,Total,Female,55,5,yes,..55 to 59 years,153797,,,,,,,
TwoOrMoreRaces,Total,Female,60,5,yes,..60 to 64 years,130787,,,,,,,
TwoOrMoreRaces,Total,Female,65,5,yes,..65 to 69 years,98491,,,,,,,
TwoOrMoreRaces,Total,Female,70,5,yes,..70 to 74 years,72043,,,,,,,
TwoOrMoreRaces,Total,Female,75,5,yes,..75 to 79 years,47279,,,,,,,
TwoOrMoreRaces,Total,Female,80,5,yes,..80 to 84 years,29888,,,,,,,
TwoOrMoreRaces,Total,Female,85,,yes,..85 years and over,31670,,,,,,,
TwoOrMoreRaces,Total,Female,0,18,,..Under 18 years,1977164,,,,,,,
TwoOrMoreRaces,Total,Female,0,5,,...Under 5 years,576143,,,,,,,
TwoOrMoreRaces,Total,Female,5,9,,...5 to 13 years,1015518,,,,,,,
TwoOrMoreRaces,Total,Female,14,4,,...14 to 17 years,385503,,,,,,,
TwoOrMoreRaces,Total,Female,18,47,,..18 to 64 years,2359521,,,,,,,
TwoOrMoreRaces,Total,Female,18,7,,...18 to 24 years,592834,,,,,,,
TwoOrMoreRaces,Total,Female,25,20,,...25 to 44 years,1135000,,,,,,,
TwoOrMoreRaces,Total,Female,45,20,,...45 to 64 years,631687,,,,,,,
TwoOrMoreRaces,Total,Female,65,,,..65 years and over,279371,,,,,,,
TwoOrMoreRaces,Total,Female,85,,,..85 years and over,31670,,,,,,,
TwoOrMoreRaces,Total,Female,16,,,..16 years and over,2824247,,,,,,,
TwoOrMoreRaces,Total,Female,18,,,..18 years and over,2638892,,,,,,,
TwoOrMoreRaces,Not Hispanic,Total,0,5,yes,..Under 5 years,939603,,,,,,,
TwoOrMoreRaces,Not Hispanic,Total,5,5,yes,..5 to 9 years,932226,,,,,,,
TwoOrMoreRaces,Not Hispanic,Total,10,5,yes,..10 to 14 years,882122,,,,,,,
